0.00029461013,-0.00056712446,3.1415925
0.00088338775,-0.0017005196,3.1415918
0.0017655024,-0.0033985772,3.1415896
0.0029397407,-0.0056589325,3.1415844
0.0044045146,-0.008478461,3.141574
0.0061578727,-0.011853278,3.1415563
0.008197513,-0.015778732,3.141528
0.010520799,-0.0202494,3.1414862
0.013124773,-0.0252591,3.1414268
0.016006188,-0.030800859,3.1413462
0.01916151,-0.036866948,3.1412394
0.022586958,-0.043448843,3.1411018
0.02627851,-0.050537255,3.1409285
0.030231943,-0.058122102,3.1407137
0.034442842,-0.06619253,3.1404521
0.038906626,-0.07473692,3.140138
0.043618582,-0.08374285,3.139765
0.04857386,-0.09319716,3.139327
0.05376752,-0.1030859,3.1388183
0.05919453,-0.113394395,3.138232
0.064849794,-0.12410722,3.1375618
0.07072815,-0.1352082,3.136802
0.07682442,-0.1466805,3.1359456
0.083133355,-0.1585065,3.1349864
0.08964971,-0.17066798,3.1339188
0.096368134,-0.18314607,3.1327364
0.10328335,-0.19592121,3.1314335
0.110389985,-0.2089733,3.1300046
0.1176826,-0.22228168,3.1284442
0.12515576,-0.23582514,3.1267474
0.13280389,-0.24958196,3.1249092
0.14062138,-0.26352996,3.1229255
0.14860247,-0.2776466,3.1207922
0.15674126,-0.29190898,3.1185055
0.16503169,-0.3062938,3.1160624
0.17346744,-0.32077757,3.1134605
0.18204205,-0.33533654,3.1106977
0.1907486,-0.34994686,3.1077726
0.19958004,-0.36458457,3.1046839
0.20852882,-0.37922558,3.1014318
0.21758701,-0.39384583,3.098017
0.22674619,-0.4084214,3.0944405
0.23599738,-0.4229285,3.0907047
0.24533117,-0.4373435,3.0868125
0.25473735,-0.45164305,3.0827677
0.26420507,-0.46580404,3.0785751
0.27372292,-0.47980383,3.0742407
0.2832786,-0.49362022,3.0697713
0.292859,-0.5072313,3.0651746
0.30245,-0.5206161,3.0604594
0.31203705,-0.53375405,3.055636
0.32160422,-0.546625,3.0507154
0.331135,-0.5592099,3.04571
0.34061188,-0.57149017,3.0406332
0.3500164,-0.5834482,3.035499
0.35932916,-0.59506696,3.0303233
0.3685301,-0.6063305,3.0251226
0.37759808,-0.61722374,3.0199146
0.38651147,-0.6277322,3.0147176
0.3952477,-0.63784266,3.009551
0.40378377,-0.64754254,3.0044348
0.41209623,-0.65682024,2.9993896
0.42016128,-0.6656652,2.994437
0.42795458,-0.67406744,2.989598
0.43545222,-0.68201804,2.984895
0.44262987,-0.68950915,2.9803498
0.44946375,-0.6965333,2.9759836
0.45593047,-0.703084,2.9718187
0.4620071,-0.70915526,2.9678755
0.46767166,-0.71474224,2.9641747
0.47290322,-0.7198404,2.9607358
0.4776817,-0.724446,2.9575772
0.48198876,-0.72855556,2.9547162
0.48580733,-0.7321664,2.9521687
0.48912212,-0.73527604,2.949949
0.49191976,-0.73788285,2.9480698
0.49418864,-0.739985,2.9465415
0.4959195,-0.7415815,2.9453735
0.49710515,-0.7426715,2.9445722
0.49774054,-0.74325454,2.9441423
0.49782315,-0.7433303,2.9440863
0.49735287,-0.7428988,2.9444046
0.49633172,-0.7419605,2.945095
0.494764,-0.7405161,2.9461536
0.49265653,-0.7385664,2.947574
0.49001843,-0.7361127,2.9493475
0.48686054,-0.7331566,2.9514644
0.4831961,-0.7297003,2.953912
0.47904006,-0.72574604,2.9566765
0.4744091,-0.7212969,2.9597423
0.46932164,-0.7163564,2.9630923
0.46379742,-0.7109284,2.9667084
